Country Name_population,Country Code,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2011_pm25,2012_pm25,2013_pm25,2014_pm25,2015_pm25,2016_pm25,2017_pm25,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp
Angola,AGO,24218565.0,25096150.0,25998340.0,26920466.0,27859305.0,28813463.0,29784193.0,33.10419463,33.41549506,34.66392257,32.97402504,32.72987314,31.78538881,32.38850491,86708999529.0,94115810021.0,98778862980.0,104000000000.0,105000000000.0,102000000000.0,102000000000.0
Mozambique,MOZ,24939005.0,25676606.0,26434372.0,27212382.0,28010691.0,28829476.0,29668834.0,22.6090715,22.86760109,22.63615999,22.61416414,21.90588194,21.47182554,21.29869546,10876976989.0,11659922005.0,12492636711.0,13422597263.0,14307681441.0,14846118925.0,15400912190.0
Nepal,NPL,27327147.0,27649925.0,27985310.0,28323241.0,28656282.0,28982771.0,29304998.0,100.7660607,96.96329149,95.31398561,98.11601657,96.25276818,98.05471403,99.73437372,16550239852.0,17341538638.0,18057549556.0,19139013429.0,19774984747.0,19891395830.0,21463958187.0
Ghana,GHA,25121796.0,25733049.0,26346251.0,26962563.0,27582821.0,28206728.0,28833629.0,28.21169897,28.89742723,27.81534006,25.8895233,34.68190071,36.25265622,34.7135141,36694403096.0,40104336703.0,43036976359.0,44283946426.0,45248542334.0,46808618405.0,50620453225.0
"Yemen, Rep.",YEM,24252206.0,24909969.0,25576322.0,26246327.0,26916207.0,27584213.0,28250420.0,50.83529078,51.43445402,52.99844335,48.33865267,54.26028666,50.12762567,50.45600689,26976988196.0,27622544883.0,28954923602.0,28900288489.0,24080164529.0,20800094925.0,19564086828.0
Madagascar,MDG,21743949.0,22346573.0,22961146.0,23589801.0,24234088.0,24894551.0,25570895.0,23.36285963,22.71642527,23.90916176,23.51776666,22.95040117,22.89570824,22.54228288,8856903643.0,9125047118.0,9330835549.0,9640232448.0,9940681351.0,10356200861.0,10788136744.0
"Korea, Dem. PeopleÕs Rep.",PRK,24722298.0,24854034.0,24985976.0,25116363.0,25243917.0,25368620.0,25490965.0,38.89336879,36.40751446,37.13485586,35.2402154,37.41178381,31.75842415,32.00745162,,,,,,,
Australia,AUS,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24601860.0,11.04726492,10.53708999,9.98768389,9.492978752,9.320015289,8.614508923999999,8.550324401000001,1170000000000.0,1220000000000.0,1250000000000.0,1280000000000.0,1310000000000.0,1350000000000.0,1380000000000.0
Cote d'Ivoire,CIV,20895311.0,21418603.0,21966312.0,22531350.0,23108472.0,23695919.0,24294750.0,22.59307255,22.49440447,21.30554316,20.90017764,27.68749396,26.67470411,25.88626634,23792758396.0,26340131050.0,28681616270.0,31203899802.0,33963218674.0,36670680111.0,39495088685.0
Cameroon,CMR,20520447.0,21082383.0,21655715.0,22239904.0,22834522.0,23439189.0,24053727.0,58.07690148,62.776697,58.18633815,56.71530558,77.05174298,73.20529127,72.79309622,27223369236.0,28460199047.0,29998263825.0,31763379465.0,33558475340.0,35118434874.0,36364818793.0
Niger,NER,17064636.0,17731634.0,18426372.0,19148219.0,19896965.0,20672987.0,21477348.0,72.98276678,72.54464459,63.03171725,60.54135722,87.28128201,87.70847201,94.05381768,5849222101.0,6542344343.0,6887022187.0,7405549054.0,7726733076.0,8107346610.0,8504074484.0
Sri Lanka,LKA,20315017.0,20425000.0,20585000.0,20778000.0,20966000.0,21203000.0,21444000.0,31.23207466,30.08397283,28.89822769,26.92277652,25.33734371,14.02544523,11.09961724,61493396999.0,67116705113.0,69395808983.0,72838327290.0,76485840044.0,79903861972.0,82547720664.0
Romania,ROU,20147528.0,20058035.0,19983693.0,19908979.0,19815481.0,19702332.0,19583986.0,17.63675464,16.31584539,15.36930935,15.00649546,15.43355526,14.53706284,14.61134019,170000000000.0,173000000000.0,179000000000.0,185000000000.0,192000000000.0,202000000000.0,216000000000.0
Burkina Faso,BFA,16081904.0,16571216.0,17072723.0,17585977.0,18110624.0,18646433.0,19193382.0,37.28137549,38.78415146,33.28720021,33.96909317,46.56216758,41.53724291,42.93559251,9575057058.0,10192906646.0,10783339867.0,11249917445.0,11688050886.0,12381635617.0,13161938187.0
Malawi,MWI,15627618.0,16097305.0,16577147.0,17068838.0,17573607.0,18091575.0,18622104.0,25.16500891,25.73840151,24.68347878,25.19822884,24.53742932,23.09261542,23.56592147,7297481088.0,7435096950.0,7821721991.0,8267560145.0,8499051829.0,8710171729.0,9058581257.0
Mali,MLI,15540989.0,16006670.0,16477818.0,16962846.0,17467905.0,17994837.0,18541980.0,35.14164437,34.7002263,32.30682338,33.91611574,41.92692766,38.48039528,38.52660616,11024767958.0,10932581179.0,11184422458.0,11972181171.0,12686032241.0,13421822111.0,14146600519.0
Chile,CHL,17153357.0,17309746.0,17462982.0,17613798.0,17762681.0,17909754.0,18054726.0,27.24586707,25.0471553,23.9366936,22.86825181,22.56979255,20.87687041,21.03629906,232000000000.0,244000000000.0,254000000000.0,259000000000.0,265000000000.0,268000000000.0,272000000000.0
Kazakhstan,KAZ,16557201.0,16792089.0,17035550.0,17288285.0,17542806.0,17794055.0,18037776.0,15.24383546,14.48103768,14.5985643,13.74975351,14.38480208,13.08443846,13.82428836,159000000000.0,167000000000.0,177000000000.0,184000000000.0,186000000000.0,188000000000.0,196000000000.0
Netherlands,NLD,16693074.0,16754962.0,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,14.98813864,13.81241373,13.04314511,12.82879707,12.93210515,12.02524278,12.03440807,860000000000.0,851000000000.0,850000000000.0,862000000000.0,879000000000.0,898000000000.0,924000000000.0
Zambia,ZMB,14264756.0,14699937.0,15153210.0,15620974.0,16100587.0,16591390.0,17094130.0,28.98711674,29.74203953,29.11222078,28.49325189,28.37545168,27.35567371,27.43803476,21393258427.0,23018636259.0,24183235705.0,25318838465.0,26058118447.0,27037168289.0,27957288779.0
Guatemala,GTM,14948919.0,15271056.0,15596214.0,15923559.0,16252429.0,16582469.0,16913503.0,31.72733122,29.88625889,30.05682402,26.52785542,25.072726100000004,23.79782877,24.07064893,43059051146.0,44337843575.0,45977273284.0,47896442436.0,49879376399.0,51421887414.0,52841305561.0
Ecuador,ECU,15177355.0,15419666.0,15661547.0,15903112.0,16144368.0,16385068.0,16624858.0,19.321995,19.55771048,18.1186093,16.23418751,15.69970761,14.98157801,14.88610066,75028081292.0,79261137178.0,83181798259.0,86333447252.0,86418807383.0,85358980970.0,87380611574.0
Zimbabwe,ZWE,14386649.0,14710826.0,15054506.0,15411675.0,15777451.0,16150362.0,16529904.0,23.07421266,23.19809712,23.11108755,22.80594966,21.73370858,21.72694718,22.25167109,13750837258.0,16042473246.0,16361637090.0,16750541640.0,17048679959.0,17177545688.0,17985583517.0
Cambodia,KHM,14537886.0,14776866.0,15022692.0,15270790.0,15517635.0,15762370.0,16005373.0,30.91962359,31.28373261,30.33652957,28.58336628,26.76923854,25.20287478,25.61429187,12037055708.0,12917367180.0,13867654630.0,14858161722.0,15903594934.0,16995073301.0,18201700723.0
Senegal,SEN,13300910.0,13703513.0,14120320.0,14546111.0,14976994.0,15411614.0,15850567.0,35.93539952,36.16775596,34.0182249,36.82683776,44.34080072,38.69494655,40.6958259,16451547989.0,17293438557.0,17781477664.0,18957455708.0,20164485187.0,21420420044.0,22952791256.0
Chad,TCD,12288651.0,12705135.0,13133589.0,13569438.0,14009413.0,14452543.0,14899994.0,55.19515958,58.67538804,53.0564069,51.24716851,68.68239375,64.77076912,66.0292055,10666537556.0,11614000868.0,12275999076.0,13123041176.0,13486244396.0,12642608725.0,12269174946.0
Somalia,SOM,12404725.0,12763776.0,13132349.0,13513125.0,13908129.0,14317996.0,14742523.0,31.23015581,31.58710495,29.551572600000004,30.40108067,32.01839243,31.75174608,32.03458423,,,,,,,
Guinea,GIN,11035170.0,11281469.0,11536615.0,11805509.0,12091533.0,12395924.0,12717176.0,22.44535934,22.98996509,21.25856145,21.19667275,26.94288524,24.77771417,26.0624902,7238091704.0,7666363201.0,7968018035.0,8263428449.0,8578674103.0,9475497772.0,10480310146.0
South Sudan,SSD,10448857.0,10818258.0,11177490.0,11530971.0,11882136.0,12230730.0,12575714.0,45.10147241,43.97405864,42.64200121,41.90056033,47.76803169,44.84657199,45.57750557,,,,,,,
Rwanda,RWA,10516071.0,10788853.0,11065151.0,11345357.0,11629553.0,11917508.0,12208407.0,42.68095937,44.56089624,44.41158508,42.21148744,42.61448971,42.84380209,43.21021716,6222456868.0,6771297545.0,7090466089.0,7631084047.0,8307806854.0,8804722944.0,9338098208.0
Tunisia,TUN,10761467.0,10886668.0,11014558.0,11143908.0,11273661.0,11403248.0,11532127.0,33.86835212,32.81580557,35.65414466,34.69205883,36.30424932,38.45049077,37.65599375,43206394579.0,44933645382.0,46225723068.0,47599273439.0,48148386195.0,48682059522.0,49633854967.0
