Country Name_population,Country Code,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2011_pm25,2012_pm25,2013_pm25,2014_pm25,2015_pm25,2016_pm25,2017_pm25,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp
Denmark,DNK,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,12.66233138,11.11552501,10.82027884,11.06670453,10.65728566,10.09597196,10.02965344,326000000000.0,327000000000.0,330000000000.0,335000000000.0,343000000000.0,352000000000.0,359000000000.0
Turkmenistan,TKM,5174061.0,5267839.0,5366277.0,5466241.0,5565284.0,5662544.0,5758075.0,25.49609942,23.80201005,23.721889800000003,22.08490686,22.97054002,21.74112228,21.76772098,25902882089.0,28778101991.0,31713468423.0,34979955661.0,37253652748.0,39563379206.0,42134998872.0
Singapore,SGP,5183688.0,5312437.0,5399162.0,5469724.0,5535002.0,5607283.0,5612253.0,19.34942078,20.88649301,18.70707148,17.40887705,20.66338947,18.79780262,19.0782565,251000000000.0,262000000000.0,275000000000.0,286000000000.0,292000000000.0,299000000000.0,310000000000.0
Finland,FIN,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,7.283699707999999,6.601133581,6.278689198,6.468639868,6.063834353,5.893757483,5.861331001,254000000000.0,251000000000.0,249000000000.0,247000000000.0,248000000000.0,255000000000.0,262000000000.0
Slovak Republic,SVK,5398384.0,5407579.0,5413393.0,5418649.0,5423801.0,5430798.0,5439232.0,21.76719851,19.76493293,19.31549268,18.30418161,18.8026457,17.35366264,17.56291134,92024135539.0,93549112293.0,94943598803.0,97554865847.0,102000000000.0,105000000000.0,108000000000.0
Norway,NOR,4953088.0,5018573.0,5079623.0,5137232.0,5188607.0,5234519.0,5276968.0,8.853510781,7.925281241,7.633674824,7.670895927,7.242775336,6.95945733,6.956519803,433000000000.0,445000000000.0,450000000000.0,459000000000.0,468000000000.0,473000000000.0,483000000000.0
"Congo, Rep.",COG,4512730.0,4633363.0,4751393.0,4871101.0,4995648.0,5125821.0,5260750.0,44.15559345,43.48998719,46.12663732,45.85281627,44.14769514,45.7110424,46.63822028,12418629884.0,12890534257.0,13334059546.0,14238097603.0,14614906845.0,14205686708.0,13765310420.0
Costa Rica,CRI,4600474.0,4654122.0,4706401.0,4757575.0,4807852.0,4857274.0,4905769.0,19.70213293,19.33512768,18.34151711,17.54363411,16.87928994,15.65581227,15.7259203,38873833296.0,40738579949.0,41662949490.0,43127543221.0,44693819768.0,46591514831.0,48119932948.0
Ireland,IRL,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4811321.0,10.28507938,9.522691992999999,9.360153635,8.750521532999999,8.672473457999999,8.279163345,8.208576735,230000000000.0,231000000000.0,234000000000.0,254000000000.0,318000000000.0,334000000000.0,358000000000.0
New Zealand,NZL,4384000.0,4408100.0,4442100.0,4509700.0,4595700.0,4693200.0,4793900.0,7.420696435,6.83583564,6.781885551,6.357903512,6.33043381,5.987363154,5.956001129,151000000000.0,154000000000.0,157000000000.0,163000000000.0,170000000000.0,176000000000.0,181000000000.0
Liberia,LBR,4070167.0,4181563.0,4286291.0,4390737.0,4499621.0,4613823.0,4731906.0,16.14705151,16.28820747,15.38285732,14.94227071,18.21280418,17.88677836,17.98411246,2161851301.0,2334665710.0,2537875669.0,2555669829.0,2555669829.0,2514789742.0,2576870498.0
West Bank and Gaza,PSE,3927051.0,4046901.0,4169506.0,4294682.0,4422143.0,4551566.0,4684777.0,32.87331274,32.76945904,33.49296358,33.44828276,33.89141151,32.74206764,33.22563038,10019539737.0,10649191297.0,10885328831.0,10865529383.0,11238079289.0,11767216976.0,12136735452.0
Central African Republic,CAF,4476153.0,4490416.0,4499653.0,4515392.0,4546100.0,4594621.0,4659080.0,51.22953137,53.35883384,50.87491368,49.35636376,58.32609851,56.98542248,56.82849738,2051568714.0,2135945588.0,1352054573.0,1366116185.0,1431688205.0,1496562092.0,1560913335.0
Oman,OMN,3237268.0,3464644.0,3711481.0,3960925.0,4199810.0,4424762.0,4636262.0,39.10379482,40.73328348,41.0527687,37.71088051,42.62758972,41.78219181,41.11523827,57992197659.0,63404421326.0,66176853056.0,67997399220.0,71221326398.0,74768270221.0,74074382055.0
Mauritania,MRT,3717672.0,3830239.0,3946170.0,4063920.0,4182341.0,4301018.0,4420184.0,40.04314497,42.34351169,40.21579155,43.11078408,49.49825592,46.66758772,47.42299178,4541843582.0,4805046968.0,5097686760.0,5382114429.0,5457464031.0,5566613311.0,5761444777.0
Kuwait,KWT,3191051.0,3395556.0,3598385.0,3782450.0,3935794.0,4052584.0,4136528.0,62.82540677,64.07091103,62.61130895,55.62390422,65.40607715,60.84385161,60.74515954,127000000000.0,135000000000.0,136000000000.0,137000000000.0,138000000000.0,143000000000.0,139000000000.0
Croatia,HRV,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,21.96600369,20.2024228,19.58696201,18.43310352,19.20668151,17.78931891,17.90177229,59640623501.0,58268505768.0,57981971089.0,57931229124.0,59321921508.0,61419621504.0,63213911836.0
Panama,PAN,3707782.0,3772938.0,3838462.0,3903986.0,3969249.0,4034119.0,4098587.0,14.29603899,13.97236651,13.397870499999998,12.92161513,12.49074394,11.46554742,11.40005433,32771051606.0,35975676272.0,38459234341.0,40407814957.0,42724269829.0,44846154387.0,47232508571.0
Georgia,GEO,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,26.78360332,25.00284928,23.91020353,22.96670742,24.25264627,21.82963618,22.19605462,12479016506.0,13271494212.0,13721005572.0,14355373148.0,14768853662.0,15189614371.0,15923763449.0
Moldova,MDA,3559986.0,3559519.0,3558566.0,3556397.0,3554108.0,3551954.0,3549196.0,19.92486817,18.40928474,17.43239973,16.72646105,17.07913959,16.36379754,16.25103271,6206793144.0,6163345583.0,6742700074.0,7066349660.0,7038084252.0,7354798041.0,7685763946.0
Bosnia and Herzegovina,BIH,3688865.0,3648200.0,3604999.0,3566002.0,3535961.0,3516816.0,3507017.0,34.19186648,31.77325971,30.44623075,28.77732513,29.62283839,27.59446709,27.74766896,17341498612.0,17198998442.0,17603071037.0,17805439832.0,18353281641.0,18930321663.0,19533480057.0
Uruguay,URY,3385624.0,3396777.0,3408005.0,3419546.0,3431552.0,3444006.0,3456750.0,11.468732199999998,10.5672946,10.45560559,9.926816159,9.65945432,9.197441119,9.27488332,42364020184.0,43862934925.0,45897095482.0,47383606579.0,47559277163.0,48362932954.0,49647783476.0
Puerto Rico,PRI,3678732.0,3634488.0,3593077.0,3534874.0,3473166.0,3406495.0,3325001.0,10.57940611,9.96624445,9.703754136,9.089227717,8.920910287,8.342871257999999,8.349033339,98028592583.0,98057290562.0,97756424655.0,96592767902.0,95579081232.0,94310815718.0,92066818925.0
Mongolia,MNG,2761516.0,2814226.0,2869107.0,2923896.0,2976877.0,3027398.0,3075647.0,45.36017005,42.6543748,42.32131127,39.29514006,42.51464988,38.22281711,40.11284905,8432599136.0,9471480158.0,10574804943.0,11408652157.0,11680159346.0,11816629564.0,12443108088.0
Armenia,ARM,2875581.0,2881922.0,2893509.0,2906220.0,2916950.0,2924816.0,2930450.0,38.61227522,37.18448464,34.9372126,33.08594982,34.88143264,32.22716773,32.52811834,9695518330.0,10393595650.0,10736584306.0,11123101341.0,11479040584.0,11501998665.0,12364648565.0
Jamaica,JAM,2829493.0,2840992.0,2851807.0,2862087.0,2871934.0,2881355.0,2890299.0,16.54249891,15.46047097,14.93139975,14.07433169,14.1766593,13.39596321,13.40415053,13428092060.0,13345520232.0,13412757292.0,13505052829.0,13627252758.0,13815398566.0,13950590008.0
Albania,ALB,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,22.77253665,20.57825918,19.93851711,18.88395497,19.51253962,18.18993375,18.20060252,12231094665.0,12404776209.0,12528823971.0,12750584155.0,13033647123.0,13470274302.0,13986932579.0
Lithuania,LTU,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,14.50968278,13.78452468,12.98119203,12.84519425,12.45503512,11.82161558,11.85328236,39363759100.0,40870192058.0,42300068778.0,43796470015.0,44681433749.0,45732868896.0,47626186104.0
Qatar,QAT,1952054.0,2109568.0,2250473.0,2374419.0,2481539.0,2569804.0,2639211.0,81.27300550000002,89.24697128,88.89051503,78.83284035,94.40389119,88.22244652,91.18732793,142000000000.0,149000000000.0,155000000000.0,161000000000.0,167000000000.0,171000000000.0,173000000000.0
Namibia,NAM,2215621.0,2263934.0,2316520.0,2370992.0,2425561.0,2479713.0,2533794.0,27.01015451,26.79870806,27.09281609,26.01812153,26.91001673,25.55214196,25.3587654,11856607187.0,12456750940.0,13156162589.0,13991799669.0,14843393222.0,14938635789.0,14797041274.0
Botswana,BWA,2051339.0,2089315.0,2128507.0,2168573.0,2209197.0,2250260.0,2291661.0,24.59211459,24.85403894,24.87425931,24.15127779,24.33025796,23.63126742,23.09438618,13560031675.0,14164289360.0,15771004795.0,16425383651.0,16146491230.0,16843290880.0,17240806145.0
Lesotho,LSO,2064166.0,2089928.0,2117361.0,2145785.0,2174645.0,2203821.0,2233339.0,31.3547412,31.21324307,32.14869782,33.08010261,30.88497707,28.33683335,28.02865352,2524596361.0,2676023465.0,2725363040.0,2810441002.0,2888196342.0,2980011719.0,2911879739.0
"Gambia, The",GMB,1746363.0,1802125.0,1859324.0,1917852.0,1977590.0,2038501.0,2100568.0,29.26492223,30.72906478,29.80467273,30.62189539,36.30538082,32.61530208,33.98263855,910925126.1,961934758.1,1008001063.0,998523478.7,1057119309.0,1061406948.0,1109783032.0
North Macedonia,MKD,2072383.0,2074036.0,2075739.0,2077495.0,2079308.0,2081206.0,2083160.0,38.0831195,34.65781455,32.01504863,31.79054123,31.97598914,29.59326907,29.72694451,9627285730.0,9583392749.0,9863680783.0,10221697015.0,10615805819.0,10918190833.0,10944451376.0
Slovenia,SVN,2052843.0,2057159.0,2059953.0,2061980.0,2063531.0,2065042.0,2066388.0,19.5141379,17.67007906,17.57137864,16.63270074,17.12815192,15.91273727,16.02397998,48325391228.0,47035305258.0,46502839741.0,47888250500.0,48969999339.0,50511749002.0,53037744699.0
Gabon,GAB,1697101.0,1756817.0,1817271.0,1875713.0,1930175.0,1979786.0,2025137.0,41.13028375,40.8140906,40.72566252,41.31956969,44.09590117,43.72065291,44.38554846,15376859682.0,16184310412.0,17096894962.0,17834619900.0,18526406863.0,18913875956.0,19007559999.0
Latvia,LVA,2059709.0,2034319.0,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,16.5726763,15.59855973,14.88430819,14.8790851,13.9682016,13.44747197,13.42645752,25273331011.0,26293015996.0,26931897162.0,27432357432.0,28247565849.0,28830703315.0,30167432998.0
Guinea-Bissau,GNB,1596154.0,1638139.0,1681495.0,1725744.0,1770526.0,1815698.0,1861283.0,27.38943995,27.0902178,26.52420728,26.94095978,31.79127202,29.58586773,29.77470228,917693960.1,901976771.6,931344271.8,940327653.1,998008131.2,1060511441.0,1123284986.0
Kosovo,XKX,1791000.0,1805200.0,1824100.0,1821800.0,1801800.0,1816200.0,1830700.0,,,,,,,,6111058328.0,6287994768.0,6503750331.0,6581669876.0,6851153357.0,7129075778.0,7430486581.0
Bahrain,BHR,1278269.0,1300217.0,1315411.0,1336397.0,1371855.0,1425171.0,1492584.0,63.73249929,70.28748254,67.79467818,62.75854371,72.60467743,69.86418236,70.81620768,26223377132.0,27202099524.0,28675502255.0,29922841391.0,30779223484.0,31847546847.0,33058875381.0
Trinidad and Tobago,TTO,1334788.0,1341588.0,1348248.0,1354493.0,1360092.0,1364962.0,1369125.0,29.85162487,27.94250467,27.15873901,24.85584226,24.8980769,24.23048069,24.10856843,22092032459.0,22377898712.0,22597392289.0,22540410080.0,22882384833.0,21519267131.0,21016574011.0
Eswatini,SWZ,1225258.0,1248158.0,1271456.0,1295097.0,1319011.0,1343098.0,1367254.0,17.97331213,18.1823313,18.30780849,17.97877739,17.92480826,17.14854776,17.16878731,4538527974.0,4752652121.0,5057821995.0,5155489045.0,5175653651.0,5342437662.0,5442504423.0
Estonia,EST,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,8.442558919,7.810698651,7.482813577999999,7.705552572,7.003727672999999,6.821448031,6.732124015,20971721297.0,21875027648.0,22298647062.0,22942757718.0,23378735867.0,24194442664.0,25369490981.0
Timor-Leste,TLS,1131523.0,1156760.0,1184366.0,1212814.0,1240977.0,1268671.0,1296311.0,23.75671867,22.46662382,21.96462302,20.45010047,20.62318671,20.01790265,19.25720917,4472146874.0,4694094125.0,4177660767.0,3089457608.0,3734488045.0,3765404275.0,3464086900.0
Equatorial Guinea,GNQ,994290.0,1038593.0,1083746.0,1129424.0,1175389.0,1221490.0,1267689.0,46.85258767,45.23237247,43.62579322,44.30179969,52.63437057,54.50903017,53.24062104,17361846463.0,18805114509.0,18027861798.0,18102689377.0,16453526926.0,15049397650.0,14309494798.0
Mauritius,MUS,1252404.0,1255882.0,1258653.0,1260934.0,1262605.0,1263473.0,1264613.0,15.20170165,15.24585596,15.55617651,15.29264823,14.44195579,14.34637947,14.45782732,10411565236.0,10775566009.0,11137661607.0,11554745827.0,11965292676.0,12424514917.0,12898941213.0
Cyprus,CYP,1124835.0,1135062.0,1143896.0,1152309.0,1160985.0,1170125.0,1179551.0,20.09096399,19.22484321,18.68454574,18.29352737,19.10134763,16.958021600000002,17.2944062,25665390728.0,24926715232.0,23481139073.0,23173192053.0,23627920530.0,24764940397.0,25812847682.0
Djibouti,DJI,865937.0,881185.0,896688.0,912164.0,927414.0,942333.0,956985.0,40.44183546,39.94282079,40.10377303,41.25972754,45.95080851,45.86887513,45.54961760000001,,,,,,,
Fiji,FJI,867086.0,873596.0,879715.0,885806.0,892149.0,898760.0,905502.0,13.83646142,12.85205328,12.14461761,11.92289283,11.64194513,11.05934316,10.8401599,3225464090.0,3270985505.0,3425841169.0,3617808676.0,3756891967.0,3771168286.0,3914472684.0
Comoros,COM,706569.0,723868.0,741500.0,759385.0,777424.0,795601.0,813912.0,21.02016044,21.2526292,21.04796184,21.50207199,20.71555746,20.48272773,20.5468246,944282560.4,974502179.3,1018353552.0,1039739042.0,1051175803.0,1074177606.0,1103262670.0
Bhutan,BTN,740510.0,752967.0,764961.0,776448.0,787386.0,797765.0,807610.0,43.07170329,42.93227289,41.88190701,40.83967373,39.81863873,37.22436394,37.9265032,1710580807.0,1797336501.0,1835844374.0,1941321989.0,2070314376.0,2236397091.0,2339922180.0
Guyana,GUY,749100.0,753091.0,758081.0,763393.0,768514.0,773303.0,777859.0,27.92942466,26.90129942,24.85550257,23.64826569,23.88788174,22.37149881,22.37557463,2391347771.0,2517522600.0,2643412954.0,2745103039.0,2831914391.0,2925824401.0,3011395060.0
"Macao SAR, China",MAC,549439.0,562531.0,575841.0,588781.0,600942.0,612167.0,622567.0,,,,,,,,34218688481.0,37379527308.0,41566105563.0,41066849519.0,32198666456.0,31920753720.0,34824298574.0
Montenegro,MNE,620079.0,620601.0,621207.0,621810.0,622159.0,622303.0,622373.0,26.62922388,24.68030289,23.27422599,21.94705168,22.55969129,20.92405137,20.78181355,4271646199.0,4156311751.0,4301782663.0,4379214751.0,4528108052.0,4659423186.0,4878416075.0
Solomon Islands,SLB,539614.0,551531.0,563513.0,575504.0,587482.0,599419.0,611343.0,14.37537331,13.43024493,12.55325496,12.17203082,12.69969555,11.83068915,11.87912184,771033399.4,806157014.5,830485620.4,849172302.1,870760296.7,900859053.1,930032625.4
Luxembourg,LUX,518347.0,530946.0,543360.0,556319.0,569604.0,582014.0,596336.0,12.68599568,11.77557609,11.6053841,10.85761339,11.00665465,10.31198129,10.3646374,54563666562.0,54371319074.0,56358248456.0,58779842025.0,61081638753.0,62554580195.0,63521461701.0
Suriname,SUR,531589.0,537077.0,542540.0,547928.0,553208.0,558368.0,563402.0,31.03872183,29.1336101,28.80831685,25.99884713,25.9732844,25.31697817,24.78001054,4624018823.0,4748421116.0,4887713258.0,4900201616.0,4733050948.0,4469836830.0,4545246714.0
Cabo Verde,CPV,508067.0,513979.0,520106.0,526437.0,532913.0,539560.0,546388.0,31.64177817,32.94099303,32.08584342,31.62108111,38.63361366,33.39233075,34.7787001,1730365372.0,1749086512.0,1763128136.0,1773904599.0,1791765400.0,1876082144.0,1951374147.0
Malta,MLT,416268.0,420028.0,425967.0,434558.0,445053.0,455356.0,467999.0,16.64430398,15.39716095,15.28194422,14.43540357,14.72246254,13.81139444,13.90954337,8856688742.0,9096953642.0,9516423841.0,10288609272.0,11278543046.0,11868476821.0,12630728477.0
Maldives,MDV,375131.0,386203.0,397397.0,408247.0,418403.0,427756.0,436330.0,11.78963462,11.1574823,10.56967928,9.921230863,9.37394394,7.972428925,7.795820798999999,2809898201.0,2880634127.0,3090375229.0,3316887569.0,3412565431.0,3661313683.0,3914372497.0
Brunei Darussalam,BRN,394013.0,399748.0,405716.0,411704.0,417542.0,423196.0,428697.0,7.366187122,7.570822949,6.709489682999999,6.180830115,6.4841797739999985,5.927600072000001,5.903065467999999,14220755409.0,14350568390.0,14045471214.0,13715438210.0,13637697103.0,13301457646.0,13478200979.0
"Bahamas, The",BHS,366568.0,372039.0,377240.0,382169.0,386838.0,391232.0,395361.0,21.77442494,20.31707569,19.90940079,18.49533328,18.88630621,17.65132069,17.36772049,10157636656.0,10471171092.0,10428194409.0,10412761873.0,10521571020.0,10343803832.0,10492464085.0
Belize,BLZ,329192.0,336701.0,344181.0,351694.0,359288.0,366954.0,374681.0,28.80044628,27.40912213,27.28443966,24.42114809,25.21682566,23.06568424,23.01189211,1426937515.0,1468858266.0,1481371978.0,1536069734.0,1588786887.0,1579444444.0,1602145624.0
Iceland,ISL,319014.0,320716.0,323764.0,327386.0,330815.0,335439.0,343400.0,8.098884846,7.33692926,7.171207035,6.9488966460000015,6.9279689410000005,6.60765416,6.481147263,13941164776.0,14121903068.0,14705681513.0,15011601923.0,15682299357.0,16835179721.0,17512773948.0
Barbados,BRB,280601.0,281585.0,282509.0,283385.0,284217.0,284996.0,285719.0,29.30348967,27.03352956,26.23023054,25.18301447,24.68624082,23.45919984,23.0801758,4559674767.0,4572494459.0,4572907997.0,4573735074.0,4615088917.0,4707721526.0,4754798742.0
French Polynesia,PYF,269843.0,271703.0,273528.0,275484.0,277690.0,280208.0,283007.0,,,,,,,,,,,,,,
New Caledonia,NCL,254350.0,259000.0,263650.0,268050.0,272400.0,276550.0,280460.0,,,,,,,,,,,,,,
Vanuatu,VUT,241871.0,247485.0,253142.0,258850.0,264603.0,270402.0,276244.0,14.38296402,13.24245239,12.74069289,11.93385168,12.15721001,11.59090896,11.65277703,709376703.2,721824490.4,736038269.0,753195366.8,747161562.6,777052317.5,812024958.1
Sao Tome and Principe,STP,178800.0,182889.0,187045.0,191266.0,195553.0,199910.0,204327.0,27.86024402,25.91584337,27.65881666,27.86230189,28.43209352,28.6665386,28.53958436,206138480.6,212615301.9,222852291.5,237448967.6,246519490.9,256822056.3,266773808.8
Samoa,WSM,187665.0,189194.0,190757.0,192290.0,193759.0,195125.0,196440.0,14.69309609,13.62788239,13.38252208,12.64355999,12.32179572,11.36629822,11.54802701,680205473.7,682940604.6,669733497.9,679088037.7,688942051.1,738335201.0,758305683.8
St. Lucia,LCA,173832.0,174835.0,175660.0,176421.0,177206.0,178015.0,178844.0,28.07865593,26.36748478,25.44480168,24.23630259,24.28323968,22.35339926,22.40081712,1430651614.0,1421648288.0,1402836982.0,1452818988.0,1439236909.0,1487669434.0,1544463475.0
Channel Islands,CHI,160497.0,161358.0,162180.0,162969.0,163758.0,164541.0,165314.0,,,,,,,,,,,,,,
Guam,GUM,159678.0,159973.0,160375.0,160967.0,161797.0,162896.0,164229.0,14.1035329,13.24230178,12.78879461,12.02255289,12.53178352,11.65176784,11.63440681,4901017210.0,5000301168.0,5091562180.0,5179814587.0,5208897767.0,5221935054.0,5231963737.0
Curacao,CUW,150831.0,152088.0,153822.0,155909.0,157980.0,159664.0,160175.0,,,,,,,,,,,,,,
Kiribati,KIR,104656.0,106613.0,108535.0,110458.0,112407.0,114395.0,116398.0,13.35815463,12.59423175,12.32529751,11.39374232,11.51431847,10.53783926,10.64085586,158610338.3,166086149.7,173086305.5,171878460.6,189763115.6,199497490.0,200152719.1
St. Vincent and the Grenadines,VCT,109341.0,109328.0,109320.0,109357.0,109455.0,109643.0,109897.0,27.58281022,25.75407882,24.76218005,23.03093206,23.47317148,22.07655177,22.20051632,678369231.8,687747146.5,700354717.0,708854724.0,718364995.4,732555979.3,738855566.8
Tonga,TON,104577.0,104951.0,105328.0,105782.0,106364.0,107122.0,108020.0,13.5170884,12.43817111,12.14771339,12.05763996,11.31296782,10.95142376,10.78547886,379775900.6,383157131.2,371200315.8,378893840.5,392957799.6,406237705.3,417206123.4
Grenada,GRD,105075.0,105481.0,105909.0,106360.0,106823.0,107317.0,107825.0,28.13951521,26.46891843,25.84730814,24.28703113,24.16278293,22.88869124,22.72268748,776911332.0,767936889.4,785994301.6,843718324.6,898080308.9,931629123.9,978762255.1
Virgin Islands (U.S.),VIR,108292.0,108191.0,108044.0,107884.0,107710.0,107510.0,107268.0,12.99373844,12.23312314,11.95551314,11.1658167,11.02889651,10.26484343,10.26531228,3985004716.0,3386486678.0,3189026880.0,3158333648.0,3166518510.0,3196188635.0,
"Micronesia, Fed. Sts.",FSM,103468.0,103503.0,103702.0,104015.0,104433.0,104937.0,105544.0,13.731652100000002,12.97443872,12.74251533,11.86686885,11.72598465,11.13451107,11.28339944,306450200.9,300353437.6,288764224.8,282538298.0,296471675.7,298546977.4,308100480.7
Aruba,ABW,102053.0,102577.0,103187.0,103795.0,104341.0,104822.0,105264.0,,,,,,,,2472880828.0,2439005749.0,2541400876.0,2562957745.0,2551409423.0,2546020205.0,2579895285.0
Antigua and Barbuda,ATG,95719.0,96777.0,97824.0,98875.0,99923.0,100963.0,102012.0,23.1478617,21.47105044,20.73538507,19.72558362,19.69638779,18.46093032,18.62234285,1128507775.0,1168080145.0,1166866906.0,1221221065.0,1270384239.0,1341395404.0,1382074643.0
Seychelles,SYC,87441.0,88303.0,89949.0,91359.0,93419.0,94677.0,95843.0,21.61035805,21.49533511,20.96973692,20.97051747,20.05359496,20.40382446,20.17864936,1046438131.0,1059631924.0,1123401382.0,1174008204.0,1231973526.0,1287449683.0,1355489119.0
Isle of Man,IMN,80759.0,81406.0,82013.0,82590.0,83167.0,83737.0,84287.0,,,,,,,,6038581242.0,6231815842.0,6512247555.0,6837859933.0,6776319193.0,7277766814.0,
Andorra,AND,83751.0,82431.0,80788.0,79223.0,78014.0,77281.0,76965.0,13.27350555,12.40705303,11.81367331,10.83041825,11.46217847,10.25583443,10.30762139,3199771534.0,3148088243.0,3159158338.0,3231113955.0,3258326510.0,3319880351.0,3382068238.0
Dominica,DMA,71718.0,72044.0,72400.0,72778.0,73162.0,73543.0,73925.0,24.27612298,22.21579925,22.15106827,21.01030747,20.68878863,19.98814835,19.49315376,492719836.6,487502987.6,484540472.0,505806447.8,492905854.3,505337165.4,457177174.3
Bermuda,BMU,64564.0,64798.0,65001.0,65139.0,65239.0,65341.0,65441.0,14.84311292,13.97908263,13.47885095,12.80641477,12.41796108,11.65994362,11.64635919,5552579616.0,5284137924.0,5151445060.0,,,,
Cayman Islands,CYM,56579.0,57523.0,58371.0,59172.0,59963.0,60765.0,61559.0,,,,,,,,,,,,,,
Greenland,GRL,56890.0,56810.0,56483.0,56295.0,56114.0,56186.0,56171.0,14.09660544,13.40669025,12.75796756,12.51054773,11.76203951,11.57250485,11.60217946,2490727405.0,2525452961.0,2482655003.0,2614551662.0,2622659626.0,2823634004.0,
American Samoa,ASM,55320.0,55230.0,55307.0,55437.0,55537.0,55599.0,55641.0,15.39064186,14.34415015,14.12722552,13.31699203,13.0193901,12.38272987,12.47382024,577691630.0,552317180.6,537092511.0,542167400.9,548933920.7,534555066.1,505797356.8
St. Kitts and Nevis,KNA,52006.0,52591.0,53169.0,53739.0,54288.0,54821.0,55345.0,,,,,,,,780463737.2,775346450.5,817726686.0,867244758.7,885861525.5,906391441.9,917001323.3
Northern Mariana Islands,MNP,53786.0,53718.0,54036.0,54468.0,54816.0,55023.0,55144.0,12.19962657,11.43999611,10.96502021,10.3134722,10.39771204,9.91775575,9.892981128999999,737538461.5,741503722.1,759347394.5,788095533.5,814861042.2,1044846154.0,1307544665.0
Marshall Islands,MHL,52542.0,52663.0,52793.0,52898.0,52994.0,53066.0,53127.0,12.93217057,12.12353358,11.87438859,11.07022018,10.83766846,10.15200199,10.24133222,166959486.5,172732723.1,177673015.8,176328132.6,175685334.4,179041793.9,185487298.5
Faroe Islands,FRO,48608.0,48666.0,48747.0,48842.0,48965.0,49117.0,49290.0,,,,,,,,,,,,,,
Sint Maarten (Dutch part),SXM,33435.0,34640.0,36607.0,37685.0,38824.0,39969.0,41109.0,,,,,,,,,,,,,,
Monaco,MCO,37497.0,37783.0,37971.0,38132.0,38307.0,38499.0,38695.0,,,,,,,,5741986755.0,5798543046.0,6353509934.0,6809668874.0,7146225166.0,7375894040.0,
Liechtenstein,LIE,36264.0,36545.0,36834.0,37127.0,37403.0,37666.0,37922.0,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,31731.0,32431.0,33108.0,33739.0,34339.0,34900.0,35446.0,,,,,,,,,,,,,,
Gibraltar,GIB,33405.0,33623.0,33831.0,34038.0,34228.0,34408.0,34571.0,,,,,,,,,,,,,,
San Marino,SMR,31504.0,31914.0,32303.0,32657.0,32960.0,33203.0,33400.0,,,,,,,,1937142143.0,1790916460.0,1736604063.0,1720974627.0,1731300474.0,1769389085.0,1795929921.0
St. Martin (French part),MAF,30615.0,30959.0,31264.0,31530.0,31754.0,31949.0,32125.0,,,,,,,,,,,,,,
British Virgin Islands,VGB,27901.0,28509.0,29056.0,29588.0,30113.0,30661.0,31196.0,,,,,,,,,,,,,,
Palau,PLW,20599.0,20758.0,20920.0,21094.0,21288.0,21503.0,21729.0,,,,,,,,192713097.5,199645404.8,195444962.6,204777169.9,226137421.9,227328191.3,219211286.3
Nauru,NRU,10057.0,10279.0,10821.0,11853.0,12475.0,13049.0,12876.0,,,,,,,,55003298.71,60551234.79,81268829.18,110951536.1,114067267.4,125930267.7,131162273.8
Tuvalu,TUV,10628.0,10725.0,10819.0,10908.0,11001.0,11097.0,11192.0,,,,,,,,34215328.62,32902991.3,34408843.31,34872648.32,38061023.84,39216157.28,40487383.96
Eritrea,ERI,4474690.0,,,,,,,45.25744675,46.13384645,47.62781596,44.37494629,49.82891214,48.67093668,48.03019868,2300794306.0,,,,,,
