Country,2010,2011,2012,2013,2014,2015,2016,2017
Central African Republic,0.26381,0.27846,0.29312,0.29678000000000004,0.30045,0.30346,0.31085999999999997,0.31073
Chad,0.51662,0.53861,0.5956899999999999,0.68057,0.70713,0.71346,0.72897,0.7287100000000001
Chile,71.3298,78.0838,79.7039,81.676,80.9771,81.1612,86.12799999999999,84.6032
China,8500.5427,9388.1992,9633.8993,9796.5272,9820.3605,9716.4678,9704.4794,9838.754
Colombia,75.3004,75.7431,79.3503,89.0001,83.4155,86.0223,86.37299999999999,81.2268
Comoros,0.16122,0.13557,0.1429,0.17587,0.15389,0.16791,0.18137,0.18947999999999998
Congo,1.9694,2.2485,2.9508,3.0578,3.0411,3.2284,3.3742,3.4097
Cook Islands,0.069616,0.069616,0.069616,0.069616,0.069616,0.07597000000000001,0.07684099999999999,0.082045
Costa Rica,7.428,7.5844,7.607,7.4312,7.5871,8.1721,8.5657,8.695
Cte d'Ivoire,6.0639,6.346,8.3429,9.5301,9.7389,10.8541,10.7575,11.7244
Croatia,21.2451,20.8017,19.243,18.5882,17.8507,17.9966,18.2215,17.1816
Cuba,38.1722,35.7718,35.9269,34.589,34.6331,36.0008,36.6665,36.5042
Curaao,3.9021,4.978,5.9943,5.2102,5.8771,6.1354,6.2545,6.2533
Cyprus,8.0179,7.7002,7.1699,6.4949,6.8785,6.9029,7.3078,7.5147
Czech Republic,117.4956,115.0233,110.9141,106.4012,104.0603,104.7846,106.5433,107.8958
Democratic Republic of the Congo,1.9633,2.4387,2.3522,3.5381,4.6313,4.7038,4.8152,4.8137
Denmark,49.2923,44.3155,39.8809,41.8251,37.6235,35.3151,37.1173,34.5501
Djibouti,0.51662,0.47266,0.51662,0.59218,0.68269,0.74049,0.78823,0.81701
Dominica,0.13923,0.12824000000000002,0.13557,0.1319,0.13557,0.14153,0.14427,0.14425
Dominican Republic,20.5744,20.7807,21.6513,20.9578,20.9911,21.4711,21.7823,21.2688
Ecuador,35.8841,37.9735,37.4605,40.2522,43.196999999999996,41.8744,39.7539,38.7973
