Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lithuania,37.2,43.564,42.887,46.423,48.632,41.538,42.991,47.64,53.323
Luxembourg,53.312,60.06,56.709,61.759,66.209,57.233,58.985,62.441,68.77
Macao SAR,28.124,36.708,43.032,51.552,55.348,45.362,45.322,50.559,54.545
Madagascar,8.73,9.893,9.92,10.602,10.674,9.703,9.959,11.466,12.093
Malawi,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.226,6.925
Malaysia,255.024,297.961,314.443,323.276,338.066,296.636,296.753,314.708,354.348
Maldives,2.588,2.629,2.885,3.286,3.69,4.098,4.402,4.858,5.302
Mali,10.699,12.99,12.45,13.243,14.369,13.106,14.016,15.366,17.187
Malta,8.757,9.511,9.215,10.154,11.302,10.701,11.446,12.754,14.505
Marshall Islands,0.168,0.176,0.187,0.192,0.185,0.181,0.198,0.208,0.214
Mauritania,4.344,5.18,5.226,5.724,5.391,4.831,4.686,4.919,5.194
Mauritius,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.267,14.277
Mexico,1057.801,1180.487,1201.094,1274.444,1314.569,1170.567,1077.83,1158.229,1223.359
"Micronesia, Fed. States of",0.297,0.311,0.326,0.316,0.318,0.315,0.331,0.363,0.374
Moldova,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.67,11.404
Mongolia,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.434,13.038
Montenegro,4.147,4.543,4.09,4.466,4.595,4.055,4.376,4.854,5.402
Morocco,93.217,101.371,98.266,106.826,110.081,101.179,103.346,109.709,118.309
Mozambique,10.457,13.131,15.178,16.013,16.872,14.798,10.897,12.586,14.428
Myanmar,39.779,54.119,58.467,60.539,63.273,63.225,60.452,61.386,68.559
Namibia,11.281,12.423,13.016,12.724,12.796,11.769,11.278,13.249,13.824
Nauru,0.049,0.073,0.104,0.109,0.117,0.1,0.102,0.114,0.117
Nepal,16.002,19.011,18.852,19.27,19.995,21.411,21.186,24.88,28.812
Netherlands,848.133,904.915,839.436,877.198,892.397,765.65,783.852,832.239,912.899
New Zealand,145.311,167.113,175.061,186.98,199.755,175.398,185.059,200.317,203.404
Nicaragua,8.759,9.774,10.532,10.983,11.88,12.611,13.184,13.814,13.258
Niger,5.729,6.415,6.946,7.67,8.243,7.255,7.61,8.136,9.226
Nigeria,369.062,414.095,460.952,514.965,568.496,493.841,405.442,376.361,397.27
North Macedonia ,9.415,10.659,9.751,10.824,11.378,10.067,10.686,11.307,12.669
Norway,429.131,498.832,510.229,523.502,499.338,386.663,371.345,399.489,434.937
Oman,57.048,68.017,76.616,78.784,81.077,68.919,65.941,70.784,82.243
Pakistan,177.166,213.588,224.384,231.218,244.361,270.556,278.655,304.952,312.57
Palau,0.183,0.193,0.215,0.225,0.246,0.293,0.304,0.29,0.297
Panama,29.44,34.686,40.43,45.6,49.921,54.092,57.958,62.284,65.206
Papua New Guinea,14.251,17.985,21.295,21.261,23.06,20.639,19.028,20.334,21.319
Paraguay,27.239,33.716,33.283,38.585,40.277,36.164,36.054,39.009,41.604
Peru,148.82,170.837,192.933,202.118,202.196,191.515,194.47,214.128,225.203
Philippines,199.591,224.143,250.092,271.836,284.585,292.774,304.889,313.595,330.846
Poland,479.161,528.571,500.846,524.399,545.284,477.568,471.843,526.594,586.015
Portugal,238.748,245.119,216.488,226.144,229.995,199.521,206.361,219.748,238.51
Puerto Rico,98.381,100.352,101.565,102.45,102.446,103.376,103.961,104.219,104.344
Qatar,125.122,167.775,186.834,198.728,206.225,161.74,151.732,166.929,192.45
Romania,166.225,183.443,171.196,190.948,199.628,177.895,188.495,211.407,239.851
Russian Federation,1632.841,2044.618,2202.672,2289.244,2056.583,1363.707,1282.663,1578.417,1630.659
